"Species","AphiaID","functional_group"
"Clupea harengus",126417,NA
"Alcyonidioides mytili",468026,NA
"Gobius niger",NA,NA
"Gasterosteus aculeatus",126505,NA
"Scomber scombrus",127023,NA
"Taurulus bubalis",127204,NA
"Vibrio crassostreae",570755,NA
"Alteromonas ulvae",NA,NA
"Ctenolabrus rupestris",126964,NA
"Chaetopterus variopedatus",129914,NA
"Asterias rubens",123776,NA
"Gobiusculus flavescens",126898,NA
"Dicentrarchus labrax",126975,NA
"Aphia minuta",126868,NA
"Neogobius melanostomus",126916,NA
"Pomatoschistus microps",126927,NA
"Syngnathus typhle",127393,NA
"Elysia viridis",139686,NA
"Paracentrotus lividus",124316,NA
"Pomatoschistus minutus",126928,NA
"Sardina pilchardus",126421,NA
"Littorina littorea",140262,NA
"Naria spurca",1075013,NA
"Atherina boyeri",272027,NA
"Osmerus eperlanus",126736,NA
"Unio tumidus",NA,NA
"Chelon saliens",1042832,NA
"Melarhaphe neritoides",140266,NA
"Chelon auratus",1044127,NA
"Parablennius gattorugine",126770,NA
"Engraulis encrasicolus",126426,NA
"Tritia incrassata",876825,NA
"Rhithropanopeus harrisii",107414,NA
"Aplysia vaccaria",568031,NA
"Sparus aurata",151523,NA
"Lelliottia amnigena",NA,NA
"Arenicola marina",129868,NA
"Chthamalus stellatus",106231,NA
"Symphodus melops",273571,NA
"Plagioecia patina",111719,NA
"Gobius cobitis",126886,NA
"Patella caerulea",140677,NA
"Phorcus turbinatus",689179,NA
"Platynereis dumerilii",130417,"benthos > macrobenthos"
"Watersipora subatra",816025,NA
"Belone belone",126375,NA
"Patella ulyssiponensis",140684,NA
"Mugil cephalus",126983,NA
"Columbella rustica",139196,NA
"Astropecten irregularis",123867,NA
"Gobius paganellus",126893,NA
"Acanthochitona fascicularis",138677,NA
"Mya arenaria",140430,NA
"Pholis gunnellus",126996,NA
"Aurelia aurita",135306,"plankton > megaplankton; benthos; plankton > zooplankton"
"Epinephelus marginatus",127036,NA
"Lagocephalus sceleratus",219954,NA
"Sicydium altum",NA,NA
"Raja miraletus",105886,NA
"Ischnochiton rissoi",848021,NA
"Boops boops",127047,NA
"Rostroraja alba",105896,NA
"Thalassoma pavo",126970,NA
"Oxyurichthys papuensis",126921,NA
"Oedalechilus labeo",126984,NA
"Balanus trigonus",106223,NA
"Amathia verticillata",851581,NA
"Caretta caretta",137205,NA
"Seriola dumerili",126816,NA
"Dasyatis pastinaca",105851,NA
"Muraena helena",126303,NA
"Pterois miles",218077,NA
"Fistularia commersonii",217966,NA
"Torpedo marmorata",271684,NA
"Parupeneus margaritatus",277818,NA
"Diaphus metopoclampus",126594,NA
"Diplodus vulgaris",127054,NA
"Lampanyctus pusillus",126619,NA
"Diaphus rafinesquii",126596,NA
"Gymnothorax unicolor",126301,NA
"Pteragogus trispilus",835084,NA
"Artemia urmiana",NA,NA
"Anthias anthias",127031,NA
"Cyclothone braueri",127284,NA
"Mullus surmuletus",126986,NA
"Conger conger",126285,NA
"Scorpaena porcus",127247,NA
"Xyrichtys novacula",126971,NA
"Scyliorhinus canicula",105814,NA
"Caranx crysos",126802,NA
"Pagellus acarne",127057,NA
"Serranus cabrilla",127041,NA
"Astropecten aranciacus",123856,NA
"Symphodus tinca",273575,NA
"Diplodus puntazzo",127052,NA
"Eriphia verrucosa",107409,NA
"Ichthyococcus elongatus",274952,NA
"Mitra cornicula",NA,NA
"Atherina hepsetus",272028,NA
"Symphodus cinereus",273567,NA
"Holothuria poli",732380,NA
"Tripterygion delaisi",127090,NA
"Hymeniacidon sinapium",165916,NA
"Conus ventricosus",428401,NA
"Trachinotus ovatus",126819,NA
"Clinitrachus argentatus",126844,NA
"Scartella cristata",126782,NA
"Pomatomus saltator",127002,NA
"Tarantinaea lignaria",607879,NA
"Maja crispata",107348,NA
"Cotylorhiza tuberculata",135297,NA
"Octopus vulgaris",140605,NA
"Arbacia lixula",124249,NA
"Loripes lacteus",NA,NA
"Dosidicus gigas",342291,NA
"Lepidoglyphus destructor",NA,NA
"Hexanchus griseus",105833,NA
"Astropecten spinulosus",123878,NA
"Astropecten platyacanthus",123876,NA
"Liposcelis decolor",NA,NA
"Chlorophthalmus agassizi",126336,NA
"Lepidorhombus whiffiagonis",127146,NA
"Lesueurigobius friesii",126904,NA
"Coryphaena hippurus",126846,NA
"Capros aper",127419,NA
"Merluccius merluccius",126484,NA
"Xiphias gladius",127094,NA
"Pagellus erythrinus",127060,NA
"Tritia reticulata",876821,NA
"Hemigrapsus penicillatus",107454,NA
"Carcinus maenas",107381,NA
"Boccardiella hamata",333121,NA
"Ensis leei",876640,NA
"Caprella mutica",146768,NA
"Syngnathus rostellatus",127389,NA
"Abra alba",141433,NA
"Owenia fusiformis",130544,NA
"Trisopterus luscus",126445,NA
"Scophthalmus maximus",127149,NA
"Lipophrys pholis",126768,NA
"Echinocardium cordatum",124392,NA
"Solea solea",127160,NA
"Ciliata mustela",126448,NA
"Conopeum reticulum",111351,NA
"Scophthalmus rhombus",127150,NA
"Planktomarina temperata",NA,NA
"Amathia tertia",851603,NA
"Gobiosoma bosc",159767,NA
"Citrobacter meridianamericanus",NA,NA
"Chydorus sphaericus",148406,NA
"Knipowitschia caucasica",126899,NA
"Brachionus calyciflorus",134980,NA
"Scrobicularia plana",141424,NA
"Caenis robusta",NA,NA
"Eriocheir japonica",444767,NA
"Fredericella sultana",NA,NA
"Bufo bufo",NA,NA
"Cyclopterus lumpus",127214,NA
"Heptagenia sulphurea",NA,NA
"Juxtacribrilina mutabilis",1059484,NA
"Salmo salar",127186,NA
"Trisopterus esmarkii",126444,NA
"Trisopterus minutus",126446,NA
"Patella pellucida",147459,NA
"Pomatoschistus pictus",126930,NA
"Luidia sarsii",123922,NA
"Thorogobius ephippiatus",126937,NA
"Patella vulgata",140685,NA
"Lepidochitona cinerea",152774,NA
"Cristatella mucedo",NA,NA
"Tripos horridus",837453,"plankton > microplankton; plankton > mixoplankton > Constitutive Mixoplankton"
"Littorina saxatilis",NA,NA
"Leuctra fusca",NA,NA
"Littorina obtusata",140263,NA
"Raniceps raninus",126442,NA
"Syngnathus acus",127387,NA
"Nucella lapillus",140403,NA
"Marthasterias glacialis",123803,NA
"Ciliata septentrionalis",126449,NA
"Buccinum undatum",138878,NA
"Holothuria forskali",1670329,NA
"Balistes capriscus",NA,NA
"Polyprion americanus",126998,NA
"Lepidonotus clava",130800,NA
"Callionymus lyra",126792,NA
"Symphodus bailloni",273566,NA
"Pollicipes pollicipes",106177,NA
"Dicentrarchus punctatus",126976,NA
"Spondyliosoma cantharus",127066,NA
"Coryphoblennius galerita",126762,NA
"Pegusa lascaris",127156,NA
"Echiichthys vipera",150630,NA
"Nerophis lumbriciformis",127383,NA
"Pagellus bogaraveo",127059,NA
"Felimida luteorosea",597403,NA
"Stramonita haemastoma",140417,NA
"Myliobatis aquila",105860,NA
"Symphodus ocellatus",NA,NA
"Prionospio dubia",131155,NA
"Liposcelis bostrychophila",NA,NA
"Physella acuta",NA,NA
"Scruparia chelata",111540,NA
"Lepadogaster candolii",272526,NA
"Membranipora membranacea",111411,NA
"Prionace glauca",105801,NA
"Raja brachyura",NA,NA
"Micromesistius poutassou",126439,NA
"Tolumonas auensis",NA,NA
"Ceratoscopelus maderensis",126585,NA
"Sipunculus nudus",424084,NA
"Tritia unifasciata",876852,NA
"Astropecten bispinosus",123859,NA
"Amphibalanus amphitrite",421137,NA
"Pelagia noctiluca",135305,"plankton > macroplankton; plankton > zooplankton"
"Lithophaga lithophaga",140459,NA
"Flustra foliacea",111367,NA
"Oshurkovia littoralis",146830,NA
"Calliostoma zizyphinum",141767,NA
"Orchesella cincta",NA,NA
"Arion flagellus",NA,NA
"Semibalanus balanoides",106210,NA
"Cradoscrupocellaria reptans",738997,NA
"Callopora lineata",111197,NA
"Flustrellidra hispida",111621,NA
"Labyrinthula terrestris",NA,NA
"Calliacantha natans",105561,"plankton > zooplankton; plankton > microplankton"
"Chaetoceros pumilus",NA,NA
"Ostreococcus lucimarinus",656266,NA
"Mamiella gilva",134562,NA
"Poteriospumella lacustris",NA,NA
"Zostera marina",NA,NA
"Mertensia(Metazoa) ovum",NA,NA
"Biecheleriopsis adriatica",837989,"plankton > mixoplankton > Constitutive Mixoplankton"
"Guinardia delicatula",149112,"plankton > phytoplankton"
"Nannochloropsis granulata",375856,NA
"Lensia conoidea",135426,"plankton > macroplankton; plankton > zooplankton"
"Paracalanus parvus",104685,NA
"Ulva intestinalis",234471,NA
"Micromonas bravo",1361175,NA
"Bathycoccus prasinos",345459,NA
"Strombidium caudispina",NA,NA
"Anteglaucoma harbinensis",NA,NA
"Hemiselmis andersenii",623449,NA
"Picomonas judraskeda",730536,"plankton > zooplankton"
"Sirolpidium bryopsidis",172210,NA
"Micromonas commoda",1361174,NA
"Chaetoceros tenuissimus",156623,"plankton > phytoplankton"
"Gyrodinium dominans",109851,"plankton > microplankton; plankton > zooplankton; benthos > microbenthos"
"Dexiostoma campyla",NA,NA
"Micrinomonas pusilla",1648762,NA
"Pseudoperkinsus tapetis",NA,NA
"Nephroselmis pyriformis",134541,"plankton > mixoplankton > Constitutive Mixoplankton"
"Chaetoceros peruvianus",NA,NA
"Einhornia crustulenta",467577,NA
"Gymnodinium aureolum",232716,"plankton > microplankton; plankton > mixoplankton > Constitutive Mixoplankton"
"Skeletonema menzelii",376361,NA
"Ostreococcus mediterraneus",1371633,NA
"Teleaulax acuta",106305,NA
"Baffinella frigidus",1391362,NA
"Cerataulina pelagica",149619,"plankton > phytoplankton"
"Medakamo limnetica",NA,NA
"Kurtzmaniella zeylanoides",NA,NA
"Barentsia benedeni",111800,NA
"Gyrodinium spirale",109876,"plankton > microplankton; plankton > nanoplankton; plankton > zooplankton"
"Noctiluca scintillans",109921,"plankton > mesoplankton; plankton > microplankton; plankton > mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton; plankton > zooplankton; plankton > phytoplankton"
"Brockmanniella brockmannii",149137,NA
"Temora longicornis",104878,NA
"Lessardia elongata",232703,"plankton > phytoplankton"
"Laboea strobila",101264,"plankton > mixoplankton > General Non-Constitutive Mixoplankton"
"Pelagostrobilidium neptuni",101212,NA
"Ditylum brightwellii",149023,"benthos; plankton > phytoplankton"
"Chaetoceros contortus",149623,"plankton > phytoplankton"
"Hartmannula sinica",427209,NA
"Teleaulax amphioxeia",106306,"plankton > mixoplankton > Constitutive Mixoplankton; plankton > phytoplankton"
"Thalassiosira pseudonana",148934,"plankton > phytoplankton"
"Mychonastes homosphaera",NA,NA
"Capitella teleta",592089,NA
"Cyclotella choctawhatcheeana",148908,"plankton > phytoplankton"
"Thaumatomastix salina",137309,NA
"Strombidium basimorphum",595214,"plankton > mixoplankton > General Non-Constitutive Mixoplankton"
"Chaetoceros neogracilis",178207,"plankton > phytoplankton"
"Leucocryptos marina",119077,"plankton > zooplankton"
"Hemiselmis cryptochromatica",623450,NA
"Mataza hastifera",872102,NA
"Mediolabrus comicus",1728736,"plankton > phytoplankton"
"Apedinella radians",248097,"plankton > phytoplankton"
"Minidiscus variabilis",623751,"plankton > phytoplankton"
"Skeletonema marinoi",376667,"plankton > phytoplankton"
"Acartia tonsa",104262,NA
"Laackmanniella prolongata",723498,NA
"Ebria tripartita",118051,"plankton > microplankton; plankton > zooplankton"
"Strombidium biarmatum",389215,"plankton > mixoplankton > General Non-Constitutive Mixoplankton"
"Pyramimonas australis",NA,NA
"Triparma pacifica",1373545,NA
"Skeletonema subsalsum",149075,"plankton > phytoplankton"
"Pyramimonas disomata",NA,NA
"Urgorri complanatus",707765,NA
"Phyllostaurus siculus.catervatus",NA,NA
"Thelepus cincinnatus",131543,"benthos > macrobenthos"
"Scapharca kagoshimensis",1476492,NA
"Clausocalanus furcatus",104503,NA
"Gastroclonium pacificum",372280,NA
"Serpula(Metazoa) concharum",NA,NA
"Pararosarium dinoexitiosum",NA,NA
"Stellarchytrium dubum",NA,NA
"Licmophora flabellata",157064,"benthos"
"Lepidodinium viride",232731,"plankton > mixoplankton > Constitutive Mixoplankton"
"Ulvella leptochaete",732246,NA
"Oikopleura dioica",1770057,NA
"Gunnarea capensis",340444,NA
"Chlamydomonas parkeae",495286,NA
"Licmophora cf.abbreviata",NA,NA
"Phyllostaurus cuspidatus",1701377,"plankton > mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton"
"Pseudotontonia simplicidens",595199,"plankton > mixoplankton > General Non-Constitutive Mixoplankton"
"Limaria hians",140235,NA
"Stenosemella pacifica",NA,NA
"Chelonemonas dolani",NA,NA
"Hydroides elegans",131002,NA
"Tintinnopsis parvula",417153,NA
"Nemalion elminthoides",145765,NA
"Aulacantha scolymantha",391970,NA
"Pelagomonas calceolata",345504,"plankton > phytoplankton"
"Ochlochaete hystrix",146012,NA
"Phymatolithon lamii",145201,NA
"Gelidium yoshidae",NA,NA
"Acanthocolla cruciata",NA,NA
"Plagiomonas amylosa",NA,NA
"Scrippsiella acuminata",1321853,"plankton > microplankton; plankton > nanoplankton; plankton > phytoplankton; plankton > mixoplankton > Constitutive Mixoplankton"
"Asterionellopsis glacialis",149139,"plankton > phytoplankton"
"Hexamita nelsoni",NA,NA
"Onychocamptus bengalensis",356546,NA
"Gonothyraea loveni",117377,NA
"Rictus lutensis",NA,NA
"Populus trichocarpa",NA,NA
"Basichlamys sacculifera",NA,NA
"Turbanella cornuta",114692,NA
"Mesanophrys pugettensis",NA,NA
"Cerastoderma edule",138998,NA
"Pellioditis marina",153398,NA
"Heribaudiella fluviatilis",NA,NA
"Cryptomonas tetrapyrenoidosa",NA,NA
"Strombidium conicum",101289,"plankton > mixoplankton > General Non-Constitutive Mixoplankton"
"Tintinnopsis urnula",427439,NA
"Dinophysis fortii",109624,"plankton > microplankton; plankton > mixoplankton > plastid Specialists Non-Constitutive Mixoplankton"
"Acartia bifilosa",104249,NA
"Mytilus edulis",140480,NA
"Vorticella aequilata",417503,NA
"Dolichomacrostomum uniporum",142735,NA
"Neanthes succinea",130391,NA
"Gymnodinioides pitelkae",389272,NA
"Thalassiosira hispida",625490,NA
"Lecudina tuzetae",563127,NA
"Wilbertomorpha colpoda",NA,NA
"Islandinium tricingulatum",839791,"plankton > zooplankton"
"Ellipsomyxa gobii",395971,NA
"Cryptomonas curvata",NA,NA
"Chlamydomonas reinhardtii",NA,NA
"Aspidisca leptaspis",417100,NA
"Phaeophila dendroides",145778,NA
"Micromonas pusilla",134564,"plankton > mixoplankton > Constitutive Mixoplankton"
"Minorisa minuta",1845407,NA
"Titanoderma pustulatum",145216,NA
"Ellobiopsis chattonii",707815,NA
"Mycale fibrexilis",184424,NA
"Tintinnopsis rara",232079,NA
"Aspidosiphon misakiensis",425023,NA
"Blixaea quinquecornis",1360848,"plankton > mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton"
"Kapraunia schneideri",1346787,NA
"Chlorocystis moorei",1871822,NA
"Climacosphenia moniligera",248082,"benthos"
"Kryptoperidinium foliaceum",110154,"plankton > microplankton; plankton > mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton; plankton > mixoplankton > plastid Specialists Non-Constitutive Mixoplankton"
"Licmophora grandis",622225,NA
"Heterosiphonia pulchra",372408,NA
"Typhlamphiascus typhlops",116024,NA
"Neogoniolithon brassica-florida",145191,NA
"Tintinnopsis lobiancoi",163919,NA
"Psammodictyon constrictum",NA,NA
"Clathrina hondurensis",164667,NA
"Leucandra nicolae",345789,NA
"Ulvella endozoica",732252,NA
"Strombidium capitatum",101282,"plankton > mixoplankton > General Non-Constitutive Mixoplankton"
"Heterohartmannula fangi",NA,NA
"Polysiphonia sertularioides",144666,NA
"Calocalanus minutus",346221,NA
"Aspidisca steini",417106,NA
"Phalacroma rotundatum",156505,"plankton > microplankton; plankton > zooplankton"
"Pterocladiella capillacea",145599,NA
"Auritoglyptes bicornis",439002,NA
"Isias clavipes",104501,NA
"Guinardia striata",149113,"plankton > phytoplankton"
"Chaetoceros lorenzianus",156617,"plankton > phytoplankton"
"Centropages typicus",104499,NA
"Oithona davisae",353995,NA
"Laodicea undulata",117725,"plankton > macroplankton; plankton > zooplankton"
"Chaetoceros costatus",149289,"plankton > phytoplankton"
"Chaetoceros muelleri",163098,"plankton > phytoplankton"
"Botrylloides violacea",NA,NA
"Chaetoceros elegans",NA,NA
"Heterosigma akashiwo",160585,"plankton > mixoplankton > Constitutive Mixoplankton"
"Bacteriastrum parallelum",656612,NA
"Tenuicylindrus belgicus",NA,NA
"Clavelina meridionalis",250313,NA
"Labidoplax digitata",124456,NA
"Pectinaria(Metazoa) koreni",NA,NA
"Acartia clausii",416523,NA
"Protodrilus gracilis",130845,NA
"Pomatoceros triqueter",131027,NA
"Leptocylindrus danicus",149106,"plankton > phytoplankton"
"Schmidingerella taraikaensis",732665,NA
"Chaetoceros decipiens",149126,"plankton > phytoplankton"
"Cephalothrix rufifrons",122599,NA
"Canuella perplexa",115723,"benthos; benthos > meiobenthos"
"Octactis octonaria",375970,NA
"Strongylocentrotus purpuratus",240747,NA
"Irus mitis",507712,NA
"Polykrikos kofoidii",109899,"plankton > microplankton; plankton > zooplankton"
"Selenidium sabellariae",563188,NA
"Jania pedunculata.var.adhaerens",NA,NA
"Pycnococcus provasolii",376073,"plankton > phytoplankton"
"Polycirrus eximius",157533,NA
"Licmophora gracilis",149343,"benthos; plankton > phytoplankton"
"Pelagospilus aureus",1306237,NA
"Amphidinium massartii",109743,"benthos > microbenthos; plankton > microplankton; plankton > phytoplankton"
"Agissea distenta",1639614,NA
"Ameira scotti",115525,NA
"Heteromastus filiformis",129884,"benthos > macrobenthos"
"Bysmatrum subsalsum",233840,"benthos > microbenthos"
"Spongites fruticulosus",145212,NA
"Margalefidinium polykrikoides",990876,"plankton > mixoplankton > Constitutive Mixoplankton"
"Prasinococcus capsulatus",375880,NA
"Paralaophonte congenera",116290,NA
"Chrysopetalum debile",129927,NA
"Sertularella mediterranea",117903,NA
"Cylindrotheca closterium",149004,"plankton > phytoplankton"
"Protoceratium reticulatum",110321,"plankton > phytoplankton; plankton > microplankton; plankton > mixoplankton > Constitutive Mixoplankton"
"Notomastus latericeus",129898,"benthos > macrobenthos; benthos > megabenthos"
"Striatella unipunctata",149177,"benthos; plankton > phytoplankton"
"Bacillaria paxillifera",558243,"benthos; plankton > phytoplankton"
"Polysiphonia anomala",373142,NA
"Irvinea ardreana",145849,NA
"Chondrilla(Metazoa) nucula",NA,NA
"Biomphalaria glabrata",NA,NA
"Holothuria leucospilota",1672774,NA
"Fugacium kawagutii",1699480,NA
"Codonellopsis americana",417158,NA
"Parvocaulis parvulus",376334,NA
"Clytia noliformis",117372,NA
"Prosthiostomum siphunculus",142842,NA
"Coryne muscoides",117469,NA
"Ceramium virgatum",NA,NA
"Brania arminii",131280,"benthos > macrobenthos"
"Enterobius vermicularis",NA,NA
"Echinoplana celerrima",142823,NA
"Perinereis aibuhitensis",716016,NA
"Tamarix aucheriana",NA,NA
"Acetabularia acetabulum",494795,NA
"Glauconema sinica",NA,NA
"Mesanophrys carcini",427050,NA
"Dysteria lanceolata",427190,NA
"Cenchrus americanus",NA,NA
"Pyramimonas propulsa",495347,NA
"Thraustochytrium kinnei",119121,NA
"Holosticha bradburyae",427869,NA
"Hyalosira delicatula",573478,NA
"Lithophyllum incrustans",145152,NA
"Derouxella lembodes",NA,NA
"Amphiroa hancockii",372911,NA
"Chaetoceros diversus",157431,"plankton > phytoplankton"
"Phymatolithon variabile",1737302,NA
"Cafeteria mylnikovii",1736978,NA
"Aurila disparata",461354,NA
"Cobanocythere japonica",778063,NA
"Thecadinium kofoidii",110273,"plankton > mixoplankton > Constitutive Mixoplankton; benthos > microbenthos"
"Thecamonas trahens",103433,NA
"Euduboscquella crenulata",1728658,"plankton > phytoplankton"
"Tintinnidium mucicola",247944,NA
"Bacteriastrum mediterraneum",418487,NA
"Pyura dura",103849,NA
"Eutintinnus lususundae",247939,NA
"Phallusia fumigata",103722,NA
"Tintinnopsis radix",235757,"plankton > microplankton"
"Favella panamensis",417251,NA
"Bacteriastrum jadranum",764850,"plankton > phytoplankton"
"Tintinnidium cf.primitivum",NA,NA
"Eutintinnus tenuis",417221,NA
"Spongoclonium caribaeum",526670,NA
"Cephalothrix queenslandica",388370,NA
"Dinovorax pyriformis",1731853,NA
"Tintinnopsis dadayi",417147,NA
"Bacteriastrum elegans",418486,NA
"Chaetoceros cf.tortissimus",NA,NA
"Acineta(Alveolata) tuberosa",NA,NA
"Zoothamnium ignavum",NA,NA
"Tintinnopsis everta",427414,NA
"Chaetoceros brevis",149291,"plankton > phytoplankton"
"Apokeronopsis sinica",NA,NA
"Alsidium seaforthii",650758,NA
"Syndinium turbo",562993,NA
"Pelagostrobilidium minutum",732814,NA
"Sphaerosyllis pirifera",131392,"benthos > macrobenthos"
"Modiolicola bifida",353520,NA
"Parvicardium exiguum",139008,NA
"Nephtys hombergii",130359,NA
"Molgula occidentalis",103790,NA
"Rhopalura ophiocomae",119178,NA
"Poikilolaimus oxycercus",NA,NA
"Eulalia(Metazoa) viridis",NA,NA
"Rhinomonas reticulata.var.atrorosea",NA,NA
"Astrosphaera hexagonalis",493304,NA
"Aetea anguina",111062,NA
"Diutina catenulata",NA,NA
"Cryothecomonas aestivalis",118045,"plankton > mixoplankton > Constitutive Mixoplankton"
"Parietaria judaica",NA,NA
"Spirorbis spirorbis",131237,NA
"Chitinopoma serrula",130986,NA
"Eupolymnia nesidensis",131490,"benthos > macrobenthos"
"Triparma eleuthera",1373543,NA
"Amphitritides gracilis",131480,"benthos > macrobenthos"
"Lychnaspis giltschii",NA,NA
"Filicrisia geniculata",111708,NA
"Crisia eburnea",111696,NA
"Cypassis irregularis",493466,NA
"Hatschekia pagrosomi",352192,NA
"Ectopleura obypa",285961,NA
"Snorkelia prorocentri",1731855,NA
"Pista cristata",131516,"benthos > macrobenthos"
"Nototeredo norvagica",181368,NA
"Corycaeus speciosus",128800,NA
"Metacylis joergenseni",NA,NA
"Dasybranchus caducus",129881,"benthos > macrobenthos; benthos > megabenthos"
"Parvocalanus crassirostris",360051,NA
"Bigelowiella longifila",590828,NA
"Tintinnopsis tocantinensis",417156,NA
"Florenciella parvula",178628,NA
"Trieres chinensis",NA,NA
"Minutocellus polymorphus",464449,"plankton > phytoplankton"
"Streblospio benedicti",131191,"benthos > macrobenthos"
"Obelia geniculata",117388,NA
"Ensis ensis",140733,NA
"Odontella(Straminipila) rostrata",NA,NA
"Strombidinopsis jeokjo",388815,NA
"Trieres mobiliensis",839991,"benthos; plankton > phytoplankton"
"Protodrilus pythonius",744904,NA
"Pyramimonas gelidicola",341612,"plankton > mixoplankton > Constitutive Mixoplankton"
"Eunotogramma laeve",418464,NA
"Thalassiosira gravida",149102,"plankton > phytoplankton"
"Pseudodiaptomus marinus",360352,NA
"Storeatula major",573985,NA
"Strombidium triquetrum",101338,NA
"Thalassiosira minima",148925,"plankton > phytoplankton"
"Thalassiosira curviseriata",345532,"plankton > phytoplankton"
"Lutraria lutraria",140295,NA
"Skeletonema costatum",149074,"benthos; plankton > phytoplankton"
"Nereis sandersi",329739,NA
"Diurodrilus subterraneus",129996,NA
"Pelagostrobilidium paraepacrum",732815,"plankton > zooplankton"
"Clytia gracilis",117367,NA
"Rhizosolenia imbricata",149116,"plankton > phytoplankton"
"Thalassiosira lundiana",495542,"plankton > phytoplankton"
"Eucampia zodiacus",149131,"benthos; plankton > phytoplankton"
"Chaetoceros diadema",149128,"plankton > phytoplankton"
"Pirsonia punctigera",NA,NA
"Protoperidinium claudicans",163862,"plankton > microplankton; plankton > zooplankton"
"Bacteriastrum hyalinum",149119,"benthos; plankton > phytoplankton"
"Detonula pumila",149647,"plankton > phytoplankton"
"Eutintinnus tubulosus",417222,NA
"Eutintinnus pectinis",417214,NA
"Opercularella lacerata",117413,NA
"Electra pilosa",NA,NA
"Protoperidinium monovelum",233123,NA
"Hypocoma acinetarum",134896,NA
"Chaetoceros affinis",149241,"plankton > phytoplankton"
"Chaetoceros didymus",149122,"benthos; plankton > phytoplankton"
"Lagenidium callinectes",172207,NA
"Proceraea cornuta",131362,"benthos > macrobenthos"
"Lynnella semiglobulosa",595101,NA
"Spermatozopsis similis",NA,NA
"Chroomonas mesostigmatica",573826,NA
